Sleep Stage,MeanP_Alpha_F4,MedianF_Alpha_F4,MeanF_Alpha_F4,Spectral Edge_Alpha_F4,PeakF_Alpha_F4,MeanP_Beta_F4,MedianF_Beta_F4,MeanF_Beta_F4,Spectral Edge_Beta_F4,PeakF_Beta_F4,MeanP_Theta_F4,MedianF_Theta_F4,MeanF_Theta_F4,Spectral Edge_Theta_F4,PeakF_Theta_F4,MeanP_Delta_F4,MedianF_Delta_F4,MeanF_Delta_F4,Spectral Edge_Delta_F4,PeakF_Delta_F4,MeanP_Gamma_F4,MedianF_Gamma_F4,MeanF_Gamma_F4,Spectral Edge_Gamma_F4,PeakF_Gamma_F4,MeanP_Alpha_C4,MedianF_Alpha_C4,MeanF_Alpha_C4,Spectral Edge_Alpha_C4,PeakF_Alpha_C4,MeanP_Beta_C4,MedianF_Beta_C4,MeanF_Beta_C4,Spectral Edge_Beta_C4,PeakF_Beta_C4,MeanP_Theta_C4,MedianF_Theta_C4,MeanF_Theta_C4,Spectral Edge_Theta_C4,PeakF_Theta_C4,MeanP_Delta_C4,MedianF_Delta_C4,MeanF_Delta_C4,Spectral Edge_Delta_C4,PeakF_Delta_C4,MeanP_Gamma_C4,MedianF_Gamma_C4,MeanF_Gamma_C4,Spectral Edge_Gamma_C4,PeakF_Gamma_C4,MeanP_Alpha_O2,MedianF_Alpha_O2,MeanF_Alpha_O2,Spectral Edge_Alpha_O2,PeakF_Alpha_O2,MeanP_Beta_O2,MedianF_Beta_O2,MeanF_Beta_O2,Spectral Edge_Beta_O2,PeakF_Beta_O2,MeanP_Theta_O2,MedianF_Theta_O2,MeanF_Theta_O2,Spectral Edge_Theta_O2,PeakF_Theta_O2,MeanP_Delta_O2,MedianF_Delta_O2,MeanF_Delta_O2,Spectral Edge_Delta_O2,PeakF_Delta_O2,MeanP_Gamma_O2,MedianF_Gamma_O2,MeanF_Gamma_O2,Spectral Edge_Gamma_O2,PeakF_Gamma_O2
NREM,0.00074,9.1161,13.86146,12.73756,10.98927,0.00046,11.86341,20.72976,20.97951,10.98927,0.0017,4.12098,10.86439,8.74146,4.99512,0.0156,0.99902,4.87024,2.62244,0.49951,3.11e-05,22.85268,36.83902,49.82634,49.95122,0.0008,8.36683,14.2361,13.1122,8.49171,0.00048,12.61268,20.85463,20.97951,10.98927,0.00229,3.74634,10.24,7.74244,3.62146,0.01874,1.24878,4.62049,2.8722,0.74927,3.95e-05,25.72488,49.82634,49.95122,49.95122,0.00041,8.61659,15.85951,14.61073,8.86634,0.00031,14.61073,22.22829,23.10244,14.36098,0.00087,4.74537,10.48976,8.49171,2.8722,0.0063,0.99902,5.24488,2.8722,0.62439,3.11e-05,25.10049,39.96098,49.82634,49.95122
NREM,0.00069,9.74049,13.98634,13.1122,11.98829,0.00048,12.36293,20.85463,21.22927,12.4878,0.00128,4.74537,11.61366,9.49073,4.87024,0.00764,1.24878,5.36976,2.62244,1.37366,3.35e-05,23.10244,37.71317,49.82634,49.95122,0.00095,9.99024,13.48683,12.98732,12.4878,0.00068,12.4878,20.35512,20.60488,12.4878,0.00179,4.62049,12.11317,9.36585,3.87122,0.00813,1.37366,5.36976,3.24683,0.74927,4.76e-05,23.97659,49.70146,49.95122,49.95122,0.00046,8.49171,15.73463,14.61073,12.4878,0.00036,14.2361,21.97854,22.60293,12.4878,0.0008,5.36976,11.48878,8.61659,3.74634,0.00323,0.99902,6.2439,3.37171,0.74927,3.47e-05,25.10049,39.8361,49.82634,49.95122
NREM,0.00073,9.86537,13.61171,12.73756,11.86341,0.00051,12.11317,19.98049,20.23024,11.86341,0.00123,4.87024,11.73854,9.99024,4.37073,0.00819,1.1239,5.12,2.62244,0.62439,3.32e-05,23.10244,37.83805,49.82634,49.95122,0.00107,10.86439,13.23707,12.98732,12.36293,0.00078,12.36293,18.85659,19.10634,12.4878,0.00175,4.62049,12.23805,10.48976,3.37171,0.00931,1.1239,5.24488,3.12195,0.62439,4.79e-05,23.10244,49.82634,49.95122,49.95122,0.00054,8.99122,14.73561,13.61171,8.11707,0.0004,12.73756,21.47902,22.10341,11.86341,0.001,4.99512,11.73854,8.86634,3.74634,0.00377,1.37366,5.86927,3.62146,0.74927,3.36e-05,24.4761,39.46146,49.82634,49.95122
NREM,0.00061,9.49073,13.98634,12.98732,11.11415,0.00041,12.11317,21.10439,21.47902,11.11415,0.00115,4.87024,11.11415,9.36585,4.49561,0.00982,1.1239,4.99512,2.37268,0.74927,3.07e-05,24.10146,37.08878,49.82634,49.95122,0.00066,9.24098,13.98634,13.1122,10.73951,0.00046,12.4878,20.97951,21.47902,12.4878,0.00131,4.74537,11.3639,8.86634,3.37171,0.01154,0.87415,4.99512,2.49756,0.62439,3.87e-05,25.84976,49.82634,49.95122,49.95122,0.0004,8.61659,15.60976,14.61073,6.86829,0.00032,14.48585,22.35317,23.10244,12.36293,0.00075,5.24488,11.11415,8.74146,3.37171,0.00424,0.62439,5.74439,2.99707,0.62439,3.18e-05,25.6,39.71122,49.82634,49.95122
NREM,0.00061,9.86537,14.11122,13.1122,9.99024,0.00041,11.98829,20.60488,21.10439,10.98927,0.00115,4.62049,10.98927,9.86537,2.74732,0.01123,0.99902,4.74537,2.49756,0.62439,2.94e-05,23.3522,37.96293,49.82634,49.95122,0.00069,9.49073,14.2361,13.48683,12.73756,0.00048,12.73756,20.48,20.85463,12.73756,0.00154,4.24585,11.3639,8.74146,4.24585,0.01564,0.99902,4.62049,2.49756,0.62439,3.9e-05,25.35024,49.82634,49.95122,49.95122,0.00038,8.99122,15.98439,15.11024,5.99415,0.00033,14.86049,22.22829,22.97756,15.98439,0.00069,5.12,11.23902,8.99122,4.24585,0.00445,0.74927,5.61951,2.74732,0.62439,3.26e-05,24.97561,38.0878,49.82634,49.95122
NREM,0.00065,9.36585,14.11122,13.23707,9.86537,0.00044,12.36293,20.72976,21.10439,11.23902,0.00129,4.62049,11.11415,9.24098,2.99707,0.00784,1.1239,5.12,2.8722,0.62439,3.07e-05,23.3522,37.21366,49.82634,49.95122,0.00087,9.1161,13.98634,13.48683,5.86927,0.0006,12.86244,19.60585,20.10537,12.73756,0.00187,4.62049,11.86341,8.36683,5.86927,0.01574,1.1239,4.99512,2.62244,0.74927,4.31e-05,24.72585,49.82634,49.95122,49.95122,0.00043,8.49171,15.60976,14.48585,5.99415,0.00033,14.2361,22.22829,22.97756,14.61073,0.00085,5.12,10.86439,8.61659,5.99415,0.00629,0.87415,5.49463,2.49756,0.62439,3.2e-05,25.35024,39.58634,49.82634,49.95122
NREM,0.00077,9.74049,13.23707,12.4878,10.73951,0.0005,11.86341,20.23024,20.35512,11.98829,0.00132,5.12,11.48878,9.99024,5.36976,0.01192,1.1239,5.12,2.37268,0.87415,3.14e-05,22.97756,36.83902,49.82634,49.95122,0.00088,10.61463,13.36195,12.98732,12.11317,0.00064,12.36293,19.48098,19.73073,12.11317,0.00146,4.87024,12.11317,10.36488,4.12098,0.01163,0.99902,5.12,2.49756,0.87415,4.32e-05,24.22634,49.82634,49.95122,49.95122,0.00043,9.1161,15.36,14.61073,7.74244,0.00036,13.73659,21.97854,22.7278,12.11317,0.00073,5.12,11.86341,9.1161,4.74537,0.00397,0.74927,5.74439,2.99707,0.62439,3.31e-05,25.22537,39.58634,49.82634,49.95122
NREM,0.00065,9.36585,13.86146,12.86244,9.99024,0.00041,11.73854,20.97951,21.35415,11.61366,0.00143,4.49561,10.98927,9.1161,4.49561,0.01957,0.74927,4.49561,2.12293,0.62439,2.98e-05,23.60195,38.96195,49.82634,49.95122,0.00074,9.1161,13.98634,13.36195,12.4878,0.0005,12.61268,20.72976,21.22927,12.4878,0.00172,4.37073,10.98927,8.36683,4.37073,0.01553,0.87415,4.87024,2.62244,0.87415,3.92e-05,25.22537,49.82634,49.95122,49.95122,0.0004,8.74146,15.98439,14.73561,5.49463,0.00033,14.36098,21.97854,22.85268,12.11317,0.00079,4.87024,11.23902,8.61659,4.37073,0.00536,0.87415,5.36976,2.8722,0.87415,3.17e-05,25.10049,40.21073,49.82634,49.95122
NREM,0.00061,9.36585,14.2361,13.36195,9.99024,0.00041,12.36293,20.97951,21.6039,11.61366,0.00114,4.99512,10.98927,9.49073,4.87024,0.01078,0.87415,4.99512,2.2478,0.99902,3.03e-05,24.22634,37.08878,49.82634,49.95122,0.00072,9.86537,14.11122,13.48683,12.98732,0.00053,12.86244,20.23024,20.48,12.98732,0.00139,4.74537,11.86341,9.24098,3.24683,0.01424,0.87415,4.87024,2.37268,0.87415,4.08e-05,24.4761,49.82634,49.95122,49.95122,0.00041,8.36683,16.10927,14.73561,8.36683,0.00033,14.61073,22.35317,23.10244,12.98732,0.00078,4.99512,10.86439,8.36683,4.87024,0.0044,0.74927,5.61951,2.8722,0.62439,3.33e-05,25.35024,38.46244,49.82634,49.95122
NREM,0.00063,9.61561,13.86146,12.73756,10.86439,0.00041,11.61366,21.22927,21.47902,10.86439,0.00116,4.62049,10.98927,9.74049,3.9961,0.01241,0.99902,4.74537,2.2478,0.74927,2.98e-05,24.10146,38.21268,49.82634,49.95122,0.0007,9.36585,13.98634,13.36195,10.73951,0.00049,12.73756,20.85463,21.47902,12.73756,0.00157,4.24585,11.11415,8.61659,3.12195,0.01705,0.99902,4.49561,2.37268,0.74927,3.93e-05,25.22537,49.82634,49.95122,49.95122,0.00043,8.49171,15.48488,14.48585,8.24195,0.00034,14.11122,22.22829,22.97756,12.73756,0.00079,4.99512,11.23902,8.61659,3.87122,0.0055,0.74927,5.61951,2.74732,0.49951,3.28e-05,24.97561,38.96195,49.82634,49.95122
NREM,0.00066,9.61561,13.61171,12.73756,9.86537,0.00042,11.86341,20.72976,20.97951,11.23902,0.00151,3.9961,10.98927,9.1161,2.99707,0.01692,0.99902,4.62049,2.37268,0.74927,2.93e-05,23.3522,37.71317,49.82634,49.95122,0.0008,9.36585,13.86146,13.23707,9.86537,0.00054,12.73756,20.48,20.72976,12.86244,0.00185,4.37073,11.23902,8.36683,2.99707,0.02046,0.99902,4.74537,2.37268,0.62439,4.07e-05,24.72585,49.82634,49.95122,49.95122,0.00041,8.36683,15.73463,14.36098,5.99415,0.00031,14.36098,22.47805,23.3522,12.86244,0.00089,4.87024,10.36488,8.24195,5.99415,0.00625,0.74927,5.36976,2.74732,0.62439,3.1e-05,24.97561,38.33756,49.82634,49.95122
NREM,0.0007,9.61561,13.61171,12.86244,10.48976,0.00044,11.73854,20.72976,20.97951,10.48976,0.0014,4.49561,10.73951,9.61561,4.49561,0.01128,0.99902,4.99512,2.62244,0.74927,2.97e-05,22.97756,37.08878,49.82634,49.95122,0.00091,9.86537,13.48683,13.1122,12.4878,0.00063,12.4878,19.48098,19.73073,12.4878,0.00185,4.37073,11.86341,9.24098,3.24683,0.01278,0.99902,4.99512,2.8722,0.74927,4.2e-05,23.97659,49.82634,49.95122,49.95122,0.00039,9.24098,15.60976,14.61073,6.99317,0.00033,13.98634,22.22829,22.85268,12.98732,0.00073,4.87024,11.73854,8.74146,2.99707,0.00416,0.87415,5.61951,2.99707,0.49951,3.15e-05,24.85073,38.7122,49.82634,49.95122
NREM,0.00074,9.61561,13.23707,12.61268,10.36488,0.00045,11.73854,20.72976,20.85463,10.36488,0.00138,4.62049,10.73951,9.74049,6.2439,0.01747,0.87415,4.49561,1.99805,0.74927,2.97e-05,23.22732,37.58829,49.82634,49.95122,0.00082,9.61561,13.48683,12.98732,12.4878,0.00055,12.4878,20.35512,20.72976,12.86244,0.00169,4.24585,11.3639,9.24098,4.12098,0.02082,0.74927,4.37073,2.12293,0.62439,3.98e-05,24.35122,49.82634,49.95122,49.95122,0.00043,8.74146,15.48488,14.36098,8.49171,0.00034,13.98634,22.35317,23.22732,12.4878,0.00083,4.99512,10.98927,8.74146,5.61951,0.00718,0.74927,5.24488,2.37268,0.62439,3.32e-05,24.97561,38.46244,49.82634,49.95122
NREM,0.00072,9.86537,13.61171,12.98732,10.48976,0.00049,12.11317,20.48,20.72976,11.61366,0.00141,4.37073,11.3639,9.61561,4.24585,0.02336,0.74927,4.24585,1.87317,0.62439,3.13e-05,22.7278,36.21463,49.82634,49.95122,0.00085,9.99024,13.73659,13.48683,12.73756,0.00062,12.86244,19.73073,20.10537,12.73756,0.00168,4.24585,12.23805,9.1161,3.37171,0.02418,0.74927,4.37073,2.2478,0.62439,4.21e-05,23.60195,49.82634,49.95122,49.95122,0.00043,8.86634,15.23512,14.48585,6.61854,0.00035,13.86146,22.22829,22.85268,12.98732,0.00081,4.99512,11.3639,8.74146,3.62146,0.00562,0.87415,5.49463,2.74732,0.74927,3.26e-05,24.85073,39.08683,49.82634,49.95122
NREM,0.0006,9.1161,14.36098,13.1122,6.11902,0.00039,12.4878,20.97951,21.47902,10.48976,0.0013,4.74537,10.61463,8.99122,5.12,0.01304,0.74927,4.99512,2.49756,0.49951,2.95e-05,23.97659,37.96293,49.82634,49.95122,0.00077,9.49073,13.86146,13.36195,12.61268,0.00054,12.73756,20.10537,20.35512,12.61268,0.0017,4.62049,11.3639,8.74146,3.49659,0.01936,0.62439,4.87024,2.2478,0.49951,3.97e-05,24.72585,49.82634,49.95122,49.95122,0.00041,8.86634,15.85951,14.73561,8.49171,0.00034,14.48585,22.22829,23.10244,12.61268,0.00087,4.49561,10.98927,8.36683,2.99707,0.00617,0.99902,5.12,2.99707,0.74927,3.23e-05,24.97561,38.21268,49.82634,49.95122
NREM,0.00069,9.49073,13.48683,12.4878,9.61561,0.00043,11.86341,20.72976,21.10439,11.23902,0.00142,4.49561,10.86439,9.49073,3.24683,0.02044,0.87415,4.24585,1.99805,0.87415,2.97e-05,23.72683,36.83902,49.82634,49.95122,0.00086,9.74049,13.61171,13.23707,10.36488,0.00058,12.61268,19.85561,20.10537,12.73756,0.00177,4.37073,11.3639,9.36585,3.24683,0.02017,0.87415,4.49561,2.2478,0.87415,4.05e-05,24.4761,49.82634,49.95122,49.95122,0.00046,8.24195,15.48488,14.11122,7.49268,0.00033,13.98634,22.10341,22.97756,11.23902,0.00099,4.62049,10.61463,8.24195,3.49659,0.00906,0.74927,5.12,2.49756,0.49951,3.14e-05,25.35024,37.83805,49.82634,49.95122
NREM,0.00073,9.61561,13.48683,12.86244,10.11512,0.00046,11.98829,20.60488,20.72976,10.24,0.00144,4.74537,10.86439,9.49073,4.99512,0.01456,0.99902,4.87024,2.2478,0.99902,2.98e-05,23.10244,36.71415,49.82634,49.95122,0.00088,9.74049,13.36195,12.98732,12.36293,0.00059,12.36293,19.48098,19.73073,12.36293,0.00189,4.49561,11.73854,8.74146,5.36976,0.02337,0.87415,4.62049,1.99805,0.62439,3.94e-05,24.22634,49.82634,49.95122,49.95122,0.00048,8.24195,15.11024,13.98634,6.11902,0.00034,13.61171,22.10341,22.60293,12.4878,0.00106,4.74537,10.48976,8.24195,4.24585,0.00827,0.74927,5.24488,2.49756,0.62439,3.08e-05,24.60098,38.58732,49.82634,49.95122
NREM,0.00069,9.36585,13.73659,12.4878,10.11512,0.00043,11.61366,20.60488,20.72976,10.11512,0.00147,4.62049,10.73951,9.1161,2.99707,0.01988,0.74927,4.62049,2.12293,0.62439,2.85e-05,22.85268,36.08976,49.82634,49.95122,0.00089,9.36585,13.36195,12.86244,12.23805,0.00056,12.36293,19.85561,19.98049,12.86244,0.00219,3.9961,11.11415,7.9922,3.37171,0.02839,0.74927,4.49561,2.37268,0.62439,3.94e-05,24.72585,49.82634,49.95122,49.95122,0.00039,8.74146,16.10927,14.86049,5.74439,0.00033,14.73561,22.47805,23.3522,12.86244,0.00089,4.37073,11.23902,8.11707,2.99707,0.01117,0.74927,4.74537,1.99805,0.62439,3.22e-05,24.85073,37.21366,49.82634,49.95122
NREM,0.00066,9.49073,13.61171,12.73756,10.98927,0.00042,11.73854,21.10439,21.35415,10.98927,0.00135,4.49561,11.11415,9.36585,3.74634,0.01557,0.99902,4.62049,2.2478,0.99902,2.97e-05,23.60195,36.21463,49.82634,49.95122,0.00071,9.49073,13.98634,13.36195,9.86537,0.0005,12.73756,20.35512,20.72976,13.36195,0.00139,4.49561,11.61366,9.24098,3.74634,0.01438,0.87415,4.74537,2.37268,0.99902,3.78e-05,24.72585,49.82634,49.95122,49.95122,0.00042,8.74146,15.60976,14.61073,8.24195,0.00033,14.2361,22.10341,22.47805,13.36195,0.00083,4.62049,10.86439,8.74146,2.99707,0.00674,0.74927,5.12,2.62244,0.62439,3.08e-05,24.35122,38.33756,49.82634,49.95122
NREM,0.00062,9.24098,13.98634,13.1122,10.11512,0.0004,12.23805,21.10439,21.47902,12.11317,0.00131,4.62049,10.73951,8.99122,3.87122,0.02085,0.62439,4.62049,1.99805,0.62439,2.9e-05,23.60195,37.71317,49.82634,49.95122,0.00073,9.1161,14.2361,13.73659,8.24195,0.00051,13.1122,20.72976,21.10439,13.1122,0.00166,4.24585,11.11415,8.49171,2.74732,0.02396,0.74927,4.49561,2.2478,0.74927,3.97e-05,24.4761,49.70146,49.95122,49.95122,0.00045,8.11707,15.36,14.2361,7.11805,0.00034,14.11122,22.35317,23.10244,13.1122,0.001,4.62049,10.61463,8.11707,5.12,0.00902,0.74927,4.99512,2.62244,0.62439,3.21e-05,24.97561,37.71317,49.82634,49.95122
NREM,0.00117,9.49073,12.98732,11.86341,10.36488,0.00067,10.48976,20.35512,20.48,10.36488,0.00207,4.49561,10.48976,9.74049,1.62341,0.03088,0.99902,3.9961,1.87317,0.87415,4.37e-05,23.85171,37.58829,49.82634,49.95122,0.00097,9.61561,14.86049,13.73659,10.11512,0.00069,12.86244,21.6039,22.47805,10.11512,0.00169,4.62049,10.61463,9.86537,5.74439,0.02198,1.1239,4.12098,2.12293,0.49951,5.9e-05,25.22537,39.71122,49.95122,49.95122,0.00049,8.99122,15.48488,14.61073,8.86634,0.00039,14.2361,22.22829,23.10244,8.86634,0.00079,5.36976,10.98927,9.36585,3.74634,0.00826,0.87415,4.99512,2.12293,0.74927,4.02e-05,26.34927,38.58732,49.82634,49.95122
NREM,0.00058,8.36683,14.98537,13.73659,5.99415,0.00039,13.48683,22.10341,22.7278,12.36293,0.00139,4.37073,10.24,8.24195,3.24683,0.01771,0.99902,4.37073,2.12293,0.74927,3.7e-05,26.34927,38.96195,49.82634,49.95122,0.00065,8.74146,15.60976,14.86049,6.99317,0.00052,14.2361,21.47902,22.35317,12.86244,0.00129,4.74537,10.98927,8.49171,4.37073,0.0073,1.24878,5.49463,2.99707,0.74927,5.06e-05,25.47512,43.70732,49.95122,49.95122,0.0004,8.74146,16.23415,15.23512,6.86829,0.00034,14.98537,22.60293,23.3522,12.86244,0.00072,4.99512,10.98927,8.86634,4.74537,0.00338,0.87415,5.86927,3.12195,0.49951,3.79e-05,26.7239,39.46146,49.82634,49.95122
NREM,0.00069,9.61561,14.73561,13.86146,10.11512,0.00051,13.23707,22.7278,23.47707,10.11512,0.00101,5.49463,10.73951,9.99024,5.49463,0.01032,0.74927,5.12,2.12293,0.49951,5.81e-05,29.84585,40.33561,49.20195,49.95122,0.00074,9.24098,15.73463,14.98537,10.11512,0.00062,14.73561,22.47805,23.3522,10.11512,0.00113,5.49463,11.11415,9.61561,4.37073,0.0061,0.87415,5.86927,2.74732,0.62439,7.15e-05,28.22244,40.96,49.82634,49.95122,0.00046,9.49073,16.35902,15.48488,9.74049,0.00042,15.48488,23.22732,24.60098,9.74049,0.00072,5.24488,11.3639,9.61561,3.74634,0.00849,0.74927,4.87024,1.99805,0.62439,5.41e-05,29.09659,38.7122,49.32683,49.95122
NREM,0.0007,9.49073,14.11122,13.36195,7.24293,0.0005,12.4878,21.22927,21.6039,11.86341,0.00115,5.12,11.3639,9.74049,5.24488,0.01302,0.87415,4.74537,2.12293,0.87415,3.92e-05,25.10049,37.08878,49.32683,49.95122,0.00072,9.1161,14.86049,14.11122,8.61659,0.00054,13.61171,21.85366,22.60293,11.86341,0.00132,4.74537,11.11415,9.24098,5.24488,0.00758,1.37366,5.12,2.8722,0.87415,5.03e-05,25.47512,40.21073,49.82634,49.95122,0.00048,8.74146,15.48488,14.48585,7.24293,0.00037,14.2361,22.47805,23.3522,14.11122,0.00079,5.24488,10.98927,9.24098,4.99512,0.00314,0.99902,6.11902,3.37171,0.87415,3.84e-05,26.09951,37.71317,49.82634,49.95122
NREM,0.00094,9.61561,17.73268,16.23415,9.36585,0.00131,21.10439,31.8439,33.21756,22.10341,0.00188,3.9961,11.3639,9.1161,2.2478,0.04163,0.74927,3.74634,1.99805,0.62439,0.00044,32.9678,36.9639,49.57659,33.09268,0.00098,9.99024,17.73268,16.60878,9.49073,0.00141,20.10537,30.96976,32.84293,13.23707,0.00176,4.24585,12.11317,9.49073,2.2478,0.05092,0.74927,3.74634,1.49854,0.62439,0.00043,32.71805,37.08878,49.70146,30.47024,0.00096,7.24293,18.73171,16.35902,2.8722,0.0012,22.10341,31.8439,33.34244,30.59512,0.00492,2.49756,9.36585,5.36976,1.99805,0.26038,0.74927,2.8722,1.74829,0.62439,0.00042,32.9678,37.08878,49.07707,33.09268
NREM,0.00087,9.61561,17.10829,16.10927,11.61366,0.00104,17.35805,28.09756,31.09463,15.36,0.00195,3.74634,11.48878,8.74146,3.12195,0.12516,0.49951,3.12195,1.1239,0.37463,0.00027,34.84098,42.83317,50.0761,37.21366,0.00075,10.61463,16.98341,16.60878,9.61561,0.00101,16.85854,27.97268,30.96976,15.48488,0.00086,5.61951,12.98732,11.11415,4.49561,0.00488,0.74927,5.99415,2.49756,0.49951,0.00025,34.46634,42.0839,49.95122,30.84488,0.00048,10.48976,17.98244,17.73268,9.61561,0.00077,17.98244,28.84683,33.34244,15.60976,0.00047,6.36878,13.61171,11.61366,5.36976,0.0028,0.74927,6.36878,2.37268,0.49951,0.00023,35.46537,43.08293,50.0761,37.21366
NREM,0.00056,9.99024,17.10829,16.60878,11.3639,0.0007,17.35805,28.72195,32.59317,20.60488,0.00072,5.86927,12.36293,10.48976,5.12,0.00573,0.99902,5.49463,1.99805,0.99902,0.0002,37.21366,42.20878,49.82634,39.71122,0.00061,9.74049,17.6078,17.10829,7.74244,0.00078,17.48293,27.72293,30.59512,12.73756,0.00071,6.36878,12.61268,10.48976,6.61854,0.00363,0.99902,6.61854,2.49756,0.37463,0.0002,36.21463,42.33366,48.9522,39.71122,0.00041,10.24,18.60683,18.2322,7.49268,0.00065,19.23122,30.09561,35.96488,20.60488,0.00047,6.36878,12.61268,10.61463,6.36878,0.00272,0.87415,6.49366,2.49756,0.62439,0.00024,38.21268,42.20878,49.07707,39.71122
NREM,0.00035,9.1161,15.36,14.48585,9.24098,0.00029,13.98634,22.10341,23.10244,13.86146,0.0007,4.24585,11.23902,8.99122,3.74634,0.00726,1.24878,4.37073,2.12293,0.99902,2.6e-05,24.4761,34.59122,42.45854,21.85366,0.00038,8.99122,16.10927,15.11024,7.49268,0.00033,14.98537,22.35317,23.10244,12.4878,0.00071,4.74537,11.3639,8.86634,2.99707,0.00483,1.37366,5.12,2.74732,0.99902,3.1e-05,23.60195,32.71805,39.96098,22.97756,0.00028,9.1161,15.98439,15.11024,10.73951,0.00024,14.98537,22.97756,23.97659,10.73951,0.00048,5.36976,10.98927,9.24098,5.99415,0.00151,1.1239,6.2439,3.62146,1.1239,2.53e-05,25.6,36.21463,43.33268,28.84683
NREM,0.00064,10.48976,13.36195,13.1122,11.48878,0.00046,12.23805,20.23024,20.48,11.48878,0.00084,5.49463,11.86341,11.11415,3.9961,0.0038,1.24878,5.86927,2.99707,0.49951,2.75e-05,22.47805,32.46829,38.96195,11.48878,0.001,11.48878,13.36195,13.23707,12.61268,0.0008,12.61268,18.10732,18.48195,12.61268,0.00126,4.99512,12.61268,11.86341,3.74634,0.00431,1.37366,5.99415,3.49659,0.99902,3.85e-05,18.60683,29.22146,36.08976,12.61268,0.00043,9.86537,14.48585,13.73659,12.4878,0.00034,12.73756,21.22927,21.85366,12.4878,0.00065,5.36976,12.23805,10.11512,3.74634,0.00165,1.24878,6.36878,3.87122,0.62439,2.59e-05,23.97659,35.21561,42.20878,12.4878
NREM,0.00063,9.86537,13.98634,13.23707,11.61366,0.00043,11.86341,20.48,20.85463,11.61366,0.00117,4.62049,11.48878,9.74049,2.8722,0.01107,0.99902,4.87024,2.49756,0.87415,2.64e-05,21.85366,32.84293,39.33659,11.61366,0.00076,9.36585,14.11122,13.61171,13.23707,0.00056,13.1122,19.98049,20.35512,13.23707,0.00162,4.37073,11.86341,8.49171,3.87122,0.01075,1.1239,5.12,2.8722,0.99902,3.24e-05,20.60488,30.09561,37.58829,13.23707,0.00033,8.86634,15.48488,14.48585,5.99415,0.00027,14.11122,22.10341,22.7278,13.23707,0.00065,4.99512,11.11415,8.74146,4.49561,0.00269,0.87415,5.86927,3.24683,0.62439,2.32e-05,24.10146,35.09073,42.20878,28.72195
NREM,0.00071,9.86537,13.23707,12.61268,11.86341,0.00047,11.98829,19.85561,19.98049,11.86341,0.00126,4.62049,11.73854,9.86537,4.49561,0.00562,1.87317,5.12,3.12195,1.99805,2.57e-05,20.85463,32.9678,38.7122,11.86341,0.00095,9.86537,13.23707,12.98732,12.61268,0.00065,12.36293,19.3561,19.48098,12.61268,0.0018,4.37073,11.98829,9.36585,4.37073,0.00776,1.87317,5.12,3.12195,1.99805,3.33e-05,20.10537,31.09463,37.21366,12.61268,0.00038,9.36585,14.98537,14.2361,8.61659,0.0003,13.1122,21.72878,22.35317,12.36293,0.00056,5.61951,11.86341,9.74049,5.74439,0.00195,1.24878,6.36878,3.24683,0.49951,2.39e-05,23.85171,34.7161,41.70927,22.35317
NREM,0.0011,10.11512,13.1122,12.61268,11.3639,0.00069,11.3639,18.85659,18.85659,11.3639,0.00172,4.87024,11.3639,10.36488,2.99707,0.01268,1.37366,4.74537,2.74732,1.37366,3.31e-05,19.48098,31.21951,36.9639,11.3639,0.00136,9.24098,13.61171,13.23707,9.36585,0.00086,12.4878,18.60683,18.60683,13.23707,0.00277,4.24585,11.48878,8.99122,3.12195,0.01726,1.37366,4.99512,2.8722,1.37366,4.05e-05,18.60683,29.97073,34.96585,13.23707,0.00048,8.49171,14.36098,13.48683,8.11707,0.00033,13.1122,21.35415,21.85366,13.23707,0.00081,5.61951,10.98927,8.86634,5.99415,0.00346,1.24878,6.2439,3.12195,0.87415,2.44e-05,23.60195,34.7161,41.83415,28.72195
NREM,0.00077,8.86634,13.48683,12.98732,12.11317,0.00048,12.23805,20.23024,20.35512,12.11317,0.00163,4.12098,11.23902,8.74146,2.2478,0.01056,1.74829,4.62049,2.62244,2.2478,2.79e-05,21.72878,32.46829,38.58732,12.11317,0.00106,8.74146,13.86146,13.36195,13.1122,0.00069,12.73756,18.73171,18.98146,13.1122,0.00239,3.9961,11.61366,8.49171,2.2478,0.01258,1.99805,4.87024,2.8722,2.2478,3.44e-05,19.23122,30.59512,36.46439,13.1122,0.00045,9.1161,14.61073,13.98634,9.1161,0.00033,13.36195,21.6039,22.22829,13.1122,0.00062,6.11902,11.61366,9.49073,6.49366,0.00208,1.37366,6.61854,3.12195,1.62341,2.5e-05,23.10244,34.96585,41.95902,22.47805
